name,subscription,rg
botcreate-dev17,psas-pharmashared-prod,rg-rpa-aa-dev
botcreate-dev90,psas-pharmashared-prod,rg-rpa-aa-dev
CMS-POC-DAVE02,mck-canada-prod,dave-poc-cms
dv-sas,ontada-nonprod,rg-sas-nonprod
DVHOA047,mck-canada-pts-nonprod,dev-pts-nexxsys-canadacentral-rg
DVHOA048,mck-canada-pts-nonprod,dev-pts-nexxsys-canadacentral-rg
DVHOA049,mck-canada-pts-nonprod,dev-pts-nexxsys-canadacentral-rg
inazbab002,mck-canada-pts-nonprod,dev-pts-nexxsys-canadacentral-rg
inazbcfm002,mck-canada-pts-nonprod,dev-pts-nexxsys-canadacentral-rg
mck-win2019,mt-itops-prod,rg-zabbix-test
MTSACSTemplate,mt-citrix-prod,ctx-applayer-images-prod
neoloadlg6,mt-core-automated-nonprod,rg-test
PDQ-DEPLOY47,mps-qaautomation-nonprod,rg-mpsqaa
QA-Tosca-14-2-POC,mms-sm-prod,qa-tosca-14-2-poc_group
QAAZPRREGON01,mck-canada-pts-nonprod,qa-pts-nexxsys-canadacentral-rg
QAAZPW10CD03,mck-canada-pts-nonprod,qa-pts-nexxsys-canadacentral-rg
QAAZPW16CD01,mck-canada-pts-nonprod,qa-pts-nexxsys-canadacentral-rg
QAHOA001,mck-canada-pts-nonprod,qa-pts-nexxsys-canadacentral-rg
QAHOA002,mck-canada-pts-nonprod,qa-pts-nexxsys-canadacentral-rg
QAHOA003,mck-canada-pts-nonprod,qa-pts-nexxsys-canadacentral-rg
QAHOA004,mck-canada-pts-nonprod,qa-pts-nexxsys-canadacentral-rg
QAHOA005,mck-canada-pts-nonprod,qa-pts-nexxsys-canadacentral-rg
QAHOA006,mck-canada-pts-nonprod,qa-pts-nexxsys-canadacentral-rg
QAHOA008,mck-canada-pts-nonprod,qa-pts-nexxsys-canadacentral-rg
QAHOA009,mck-canada-pts-nonprod,qa-pts-nexxsys-canadacentral-rg
QAHOA010,mck-canada-pts-nonprod,qa-pts-nexxsys-canadacentral-rg
QAHOA011,mck-canada-pts-nonprod,qa-pts-nexxsys-canadacentral-rg
QAHOA014,mck-canada-pts-nonprod,qa-pts-nexxsys-canadacentral-rg
QAHOA015,mck-canada-pts-nonprod,qa-pts-nexxsys-canadacentral-rg
QAHOA017,mck-canada-pts-nonprod,qa-pts-nexxsys-canadacentral-rg
QAHOA022,mck-canada-pts-nonprod,qa-pts-nexxsys-canadacentral-rg
QAHOA023,mck-canada-pts-nonprod,qa-pts-nexxsys-canadacentral-rg
QAHOA025,mck-canada-pts-nonprod,qa-pts-nexxsys-canadacentral-rg
QAHOA026,mck-canada-pts-nonprod,qa-pts-nexxsys-canadacentral-rg
QAHOA027,mck-canada-pts-nonprod,qa-pts-nexxsys-canadacentral-rg
QAHOA029,mck-canada-pts-nonprod,qa-pts-nexxsys-canadacentral-rg
QAHOA030,mck-canada-pts-nonprod,qa-pts-nexxsys-canadacentral-rg
QAHOA031,mck-canada-pts-nonprod,qa-pts-nexxsys-canadacentral-rg
QAPTA074,mck-canada-pts-nonprod,qa-pts-nexxsys-canadacentral-rg
QAPTA079,mck-canada-pts-nonprod,qa-pts-nexxsys-canadacentral-rg
QAPTA080,mck-canada-pts-nonprod,qa-pts-nexxsys-canadacentral-rg
QAPTA083,mck-canada-pts-nonprod,qa-pts-nexxsys-canadacentral-rg
QAPTA084,mck-canada-pts-nonprod,qa-pts-nexxsys-canadacentral-rg
QAPTA086,mck-canada-pts-nonprod,qa-pts-nexxsys-canadacentral-rg
QAPTA088,mck-canada-pts-nonprod,qa-pts-nexxsys-canadacentral-rg
QAPTA090,mck-canada-pts-nonprod,qa-pts-nexxsys-canadacentral-rg
SANDO-Tst02-APP,PharmacyAutomation-DevTest-nonprod,rg-devops-sando
sapaqcapph01,mt-sap-perf-nonprod,rg-sap-rat-test-wus3-westus3
spaceman-v14uat,mck-canada-prod,rg-spaceman-uat
Staging3,mps-qaautomation-nonprod,rg-vnetmptstechsolutions
TEHOA102,mck-canada-pts-nonprod,dev-pts-nexxsys-canadacentral-rg
vazARCDBS2,PharmacyAutomation-DevTest-nonprod,rg-eastus-hvs-development
vazMCK474,PharmacyAutomation-DevTest-nonprod,vazmck474_group
vazRIT541,PharmacyAutomation-DevTest-nonprod,rg-eastus-hvs-development
vazWitness,PharmacyAutomation-DevTest-nonprod,rg-eastus-hvs-development
vERXQA2012,PharmacyAutomation-DevTest-nonprod,verxqa2012
vmontadadfshir1,mt-dna-ontada-nonprod,rg-databricks-ontada-nonprod-westus
vmSiebelDBDev1,mpts-shared-services-prod,siebelresourcegroup
vmSiebelDBProd2,mpts-shared-services-prod,rg_vmsiebeldbprod
vRXQA,PharmacyAutomation-DevTest-nonprod,vrxqa
ZapCloud02,mps-qaautomation-nonprod,rg-vnetmptstechsolutions
ZapCloud18,mps-qaautomation-nonprod,rg-vnetmptstechsolutions
ZapMonitor1,mps-qaautomation-nonprod,rg-vnetmptstechsolutions
